episode,last reward,average reward,step0,step1,step2,step3
250,-7.085297971768063,-6.299759574121901,-8.08688714221401,-7.893841310189324,-8.222100283914152,-8.360329992628355,
255,-3.420102264643976,-5.995486628347031,-8.510016662824025,-7.885960583407014,-8.386786163412152,-8.598282495924096,
260,-13.459248420705658,-6.147797263886836,-8.333438384949,-8.404939003856427,-8.112379633190915,-8.678968040415981,
265,-8.08952837709853,-6.062961115899206,-7.183262130074725,-7.83845212510866,-8.107394817996441,-8.264029864642543,
270,-8.068693419519505,-5.855804834764498,-8.28702381056904,-8.07803018738769,-8.689169652564726,-8.134196268624981,
275,-6.037570725714106,-5.784905438011434,-8.06999395093612,-7.862667661432876,-7.836967527843756,-8.559926868459037,
280,-6.5615367475094,-5.778378542090999,-8.417585029393003,-8.23232105864683,-8.440223036559619,-8.689811402802325,
285,-9.154143087570242,-5.662268850811306,-7.677537320215908,-8.891679241437412,-8.57805927163766,-9.069276674273864,
290,-10.896252902831444,-5.707196822303031,-8.027907329920927,-7.603372656894029,-8.184948556094694,-8.336081345074325,
295,-7.817571904918051,-5.78894249940393,-7.632506730320187,-7.992459780632047,-8.092557553589431,-9.338025199362669,
300,-2.9942899422221085,-5.942556584162758,-8.472741422523528,-7.882208132865203,-8.134339463525937,-9.278511200635437,
305,-5.380036831679508,-5.636016235884719,-7.473670854884964,-8.238450278953465,-8.676080457566657,-9.435855037644544,
310,-4.222414154277315,-5.534925178337705,-7.523250045701428,-7.940890628871836,-8.055705605550148,-8.77797625500445,
315,-6.919712116195392,-5.499358184133708,-7.403648211658075,-8.088227891715055,-8.586552882590565,-8.941405382531048,
320,-3.5082035830903804,-5.217645336770978,-7.579118914019965,-8.35096687396202,-8.766830132684325,-9.028874688479435,
325,-5.480731565236841,-5.455388903818444,-8.218320427919066,-8.290429091141798,-9.222315991699022,-9.243822027458693,
330,-6.8056063724482305,-5.340262641908226,-7.223195785479756,-8.348519662996162,-8.447063958789217,-9.782490480444503,
335,-6.742952147773591,-5.359670468834044,-8.327916678202921,-8.925368588909107,-9.725342207197118,-9.550569111260872,
340,-4.4637521237724895,-5.30973125531902,-7.968053004340499,-8.039001441853305,-8.91732405900072,-9.346911256121018,
345,-6.1104144420166255,-5.3715769154172985,-7.528216387537668,-8.35560726994162,-8.730106768838882,-9.486004403746454,
350,-4.411717250042338,-5.317887272563556,-8.256167079470577,-8.245383354654033,-8.924368034221978,-8.878746041170402,
355,-2.0293844514527857,-5.263408088064159,-8.381354707984315,-8.409108461318613,-9.284934072970307,-10.103081518990578,
360,-4.494453069952039,-5.299669610380722,-6.296918411329505,-8.653364383454319,-8.80174305370863,-9.551460408269593,
365,-5.485124021314705,-5.1736095827965976,-7.6717805596010775,-8.101411731900813,-8.735711337199144,-9.515442349966287,
370,-5.348294316938649,-4.964267182446709,-8.933424969045312,-8.778122116881322,-9.232595790362863,-9.74069296286501,
375,-3.6498180859880556,-5.2450085760225225,-7.236281728345066,-8.09874621835802,-9.50491559268028,-10.040312075507824,
380,-3.1721289846538236,-5.204502661474566,-7.04878204848877,-8.61071101424186,-8.891618189330512,-9.760491615523247,
385,-2.6521557515500542,-5.20076434117263,-7.836512019721036,-8.03226633631642,-9.067606203204443,-9.244549395221211,
390,-7.2726767034958835,-5.028867613328511,-7.653598211663632,-9.158378168020633,-9.87694749359236,-9.68344389482122,
395,-1.8127795392951183,-5.152271118761996,-7.602719284503262,-8.3204946972574,-8.839581155340547,-9.611205479659201,
