episode,last reward,average reward,step0,step1,step2,step3,step10,qmodel
-8.110592526152942,-8.349220845599529,-8.459147231639548,-8.587877629879827,-9.345354578157512,-8.110523188412778,-8.110524175029495,-25.652495436072705,
1,-115.67486001055794,-109.25302347966579,episode,last reward,average reward,step0,step1,step2,step3,step10,qmodel
5,-47.17629702429313,-47.05378807620993,-10.531833031059127,-10.427461174088146,-10.524562715226832,-10.611277282676708,-11.037245822054766,-10.11601563110753,-10.147658295180523,-13.691047715774841,
5,-32.222303832943304,-48.31244780276957,-10.285740714573308,-10.010741935578777,-10.168953907836986,-10.310861304961726,-11.114336237700003,-10.02190231689821,-10.032763869935723,-13.792279375280653,
6,-38.68143983669444,-40.505745556987534,-10.435697046778454,-10.422917946202329,-10.421568467430117,-10.51329219653599,-11.145224996578733,-9.92653276721609,-10.058185934495455,-13.414093618096855,
6,-42.15260817753115,-39.214283880509754,-10.623904889289175,-10.541594566478295,-10.532918257317668,-10.62650306349336,-11.322677749181851,-10.282044115020682,-10.343337830619216,-13.715545037854344,
6,-47.99963603194294,-41.18695273020474,-10.66710469771962,-10.494773968601148,-10.694149041230858,-10.803972391149332,-11.280150064025134,-10.091802639182259,-10.214592056247604,-13.202678771258727,
6,-42.37437923673276,-40.626353158498375,-10.602106019274654,-10.768661715042297,-10.925421667452841,-10.8723894783881,-11.103602822136937,-10.10762660667174,-10.130086573501723,-14.053264420955376,
6,-37.73953947458937,-40.35727691019624,-10.55235218532628,-10.510983031135932,-10.604069763570326,-10.695319831195134,-11.218942126991278,-10.334691682711025,-10.491151262009458,-13.670502574226875,
7,-28.102133713620507,-33.57079431387065,-10.480335409361787,-10.512949225158227,-10.643071213045921,-10.681242277636061,-11.555929076542359,-9.99139497794768,-10.030394432556639,-14.382483660241869,
7,-40.19359468155283,-33.42252572949488,-10.402662155026636,-10.51633628113459,-10.565124513078922,-10.62702619426036,-11.442508229271798,-10.059120587431217,-10.0934239187679,-13.83074748489101,
7,-35.94002873383892,-34.47213287494121,-10.534875843523846,-10.589476950106747,-10.651995405231908,-10.741376811606639,-11.415801169277227,-10.21151986745175,-10.277941281608744,-13.48029113591072,
7,-42.04873310024081,-33.42364058817749,-10.748083308036907,-10.653192728021011,-10.648171411753035,-10.691430488716954,-11.749777229489283,-10.441159754643305,-10.449548015742677,-14.382109168045055,
7,-36.15510133172146,-33.915374125431796,-10.81414997868165,-10.881244760291128,-10.987932232345099,-11.121940758910526,-11.456608510156963,-10.244554013660252,-10.30258884958825,-14.058428444843374,
8,-29.099480753377573,-28.929604120343082,-10.690906182438136,-10.807191879314738,-10.796070194386164,-10.921608057082715,-11.700834159994542,-10.244674197077478,-10.264300134207872,-13.785100326071332,
8,-29.735777174392794,-28.610200319664937,-10.918655469305616,-10.767929133251863,-10.94973738039862,-11.150537959139694,-11.67754383903362,-10.36132237865014,-10.439380157138363,-14.079700373635715,
8,-27.422750176135647,-29.203022017362414,-10.693490013147409,-10.77395252313538,-10.76782145732693,-10.87369193852136,-11.629687635830743,-10.367054501165216,-10.396669040411505,-14.275164890804696,
