episode,last reward,average reward,step0,step1,step2,step3,step10,qmodel
-11.650525230272907,-11.926191874634167,-12.3767461363844,-12.694800440933664,-13.050306313240778,-11.650921880115066,-11.650627782895851,-22.12110088898716,
1,-13.183739292664853,-2.7089434408111135,episode,last reward,average reward,step0,step1,step2,step3,step10,qmodel
-11.806737269595338,-12.035086645340849,-12.432618888386129,-12.7534987346764,-13.388433898640812,-11.807937242413706,-11.807186596317582,-22.853102626370607,
1,4.548524951372883,4.887957426211514,episode,last reward,average reward,step0,step1,step2,step3,step10,qmodel
-12.133198976486554,-12.346037895994208,-12.654356556504851,-12.882385819257992,-13.37547556187631,-12.131900594480081,-12.133306580089373,-23.176425964223945,
1,-6.830705097818724,2.433566775893338,episode,last reward,average reward,step0,step1,step2,step3,step10,qmodel
-12.180613363700726,-12.425887137286926,-12.780610559808247,-13.012545495813104,-13.454938705902643,-12.18131445578787,-12.180578034123219,-22.902929654526496,
1,8.092001367238625,-1.0139439261746928,episode,last reward,average reward,step0,step1,step2,step3,step10,qmodel
4,27.441027487425686,51.86505623335945,-12.832728269228372,-12.080657215621132,-12.429180944232074,-12.62965209675656,-13.38815834952051,-12.471156427633153,-12.79898733809207,-14.399061288210794,
4,54.54315016935994,36.06027889844094,-13.77868022682387,-11.05989322539292,-13.100104774501585,-13.86003558330339,-15.042210899345175,-12.77098666056166,-13.459180872581022,-13.50198725967001,
4,26.77099247142665,24.875310096457387,-14.337366828144798,-13.13854774398564,-13.969954181436496,-14.411313153508344,-14.944903133976222,-13.852232429241495,-14.077733081838046,-15.696891945467325,
4,24.612492769709785,28.709267676701266,-13.791866507837181,-13.025943533508334,-13.335342134428352,-13.530449409170005,-14.416308689637514,-12.827856079632822,-13.0322000477238,-15.068179323487078,
5,49.40780982046652,57.311321568119865,-14.401861753273026,-13.587851681935232,-13.871164958752564,-13.86220818671581,-14.628995392711534,-13.627510244048398,-13.798695664005692,-15.407524763923902,
5,42.585983012337444,34.96774581773854,-14.666759685696663,-13.137298099451469,-13.825488774494238,-14.163813870352772,-14.876366664747572,-13.32823813043122,-13.424247195782812,-15.897927570513984,
5,39.354110356340826,39.70963828911797,-14.11426194734969,-12.019330751057213,-13.599386618176295,-14.073227787548744,-14.818927626260727,-13.652838895964962,-13.732153300526384,-14.844190138249227,
5,29.497543148847694,25.59790702662716,-13.66802916890373,-13.526415869324088,-13.75818112113605,-13.91273138127226,-14.566217737993146,-13.473007824327563,-13.490346238128936,-16.43925719779086,
5,26.134649940354674,33.60999834359996,-13.144529717070899,-12.795673624213283,-13.148734636420864,-13.45665267911007,-13.934427686101587,-12.762838708727873,-12.88587241077938,-15.671849106868086,
6,32.08656520618968,100.38939029280975,-13.401715238793734,-13.341245167673273,-13.684678039157244,-13.731072395134607,-14.25208252330113,-13.116786382031826,-13.144904689234098,-16.169124859635414,
6,36.63150562564554,39.91073843716822,-13.591579267595629,-12.727711033863956,-13.253048034103578,-13.511760243035171,-13.847393622049996,-13.400945747712651,-13.519994666716164,-16.331185083092077,
